"tier","scenario_family","scenario_name","layer","world","condition","task","model","channel","n_jobs"
"tier2_cross_condition","cross_condition_transfer","EO_photo_train__EC_test","P0_derivative_amplitude_deciles","DERIVED_DECILES_ALL","EO_photo_train__EC_test","CN_vs_FTD","kTSP_k3_disjoint","O2",1
"tier2_cross_condition","cross_condition_transfer","EO_photo_train__EC_test","P0_derivative_amplitude_deciles","DERIVED_DECILES_ALL","EO_photo_train__EC_test","AD_FTD_vs_CN","kTSP_k5_disjoint","O2",1
"tier1_main","single_condition","single_condition","P0_derivative_amplitude_deciles","RAW_DECILES","ds006036__EO_or_photomark","CN_vs_FTD","kTSP_k5_disjoint","O2",92
"tier1_main","single_condition","single_condition","P0_derivative_amplitude_deciles","DERIVED_DECILES_ALL","ds004504__EC","AD_FTD_vs_CN","kTSP_k9_disjoint","O2",86
"tier1_main","single_condition","single_condition","P1_psd_bandpower_from_derivatives","PSD_ABSOLUTE_CHANNEL_BAND","ds004504__EC","AD_FTD_vs_CN","kTSP_k9_disjoint","O2",96
"tier1_main","single_condition","single_condition","P0_derivative_amplitude_deciles","RAW_DECILES","ds004504__EC","AD_FTD_vs_CN","kTSP_k9_disjoint","O2",78
"tier1_main","single_condition","single_condition","P0_derivative_amplitude_deciles","DERIVED_DECILES_ALL","ds006036__EO_or_photomark","AD_FTD_vs_CN","kTSP_k9_disjoint","O2",97
"tier1_main","single_condition","single_condition","P1_psd_bandpower_from_derivatives","PSD_ABSOLUTE_CHANNEL_BAND","ds006036__EO_or_photomark","AD_FTD_vs_CN","kTSP_k9_disjoint","O2",100
"tier1_main","single_condition","single_condition","P0_derivative_amplitude_deciles","RAW_DECILES","ds006036__EO_or_photomark","AD_FTD_vs_CN","kTSP_k9_disjoint","O2",90
"tier4_pooled","pooled_condition","POOLED_EC_EO_subject_grouped","P0_derivative_amplitude_deciles","DERIVED_DECILES_ALL","POOLED_EC_EO_subject_grouped","AD_FTD_vs_CN","kTSP_k9_disjoint","O2",98
"tier1_main","single_condition","single_condition","P0_derivative_amplitude_deciles","DERIVED_DECILES_ALL","ds004504__EC","AD_vs_CN","kTSP_k9_disjoint","O2",92
