"comparison","metric","tier","layer","world","scenario_family","scenario_name","condition","task","ktsp_model","comparator_model","comparator_block","n_repeats","mean_delta","median_delta","bootstrap_ci_low","bootstrap_ci_high","wilcox_p","paired_t_p","wilcox_p_holm","wilcox_p_bh","paired_t_p_holm","paired_t_p_bh"
"best_ktsp_vs_each_classifier","macro_f1","tier1_main","P0_derivative_amplitude_deciles","DERIVED_DECILES_ALL","single_condition","single_condition","ds004504__EC","AD_vs_CN","kTSP_k9_disjoint","knn_euclidean","classic_fast",20,0.0707658796741614,0.065027872454343,0.0499000569348093,0.0920901607411766,0.000129926100333799,3.38758205007032e-06,0.0496898731631834,0.000329568644749149,0.000995949122720675,7.76009985038136e-06
"best_ktsp_vs_each_classifier","mcc","tier1_main","P0_derivative_amplitude_deciles","DERIVED_DECILES_ALL","single_condition","single_condition","ds004504__EC","AD_vs_CN","kTSP_k9_disjoint","knn_euclidean","classic_fast",20,0.14105029731649,0.129739774729177,0.102232267899031,0.183211355793931,0.000129926100333799,2.94083494809628e-06,0.0496898731631834,0.000350059959448578,0.000902836329065558,7.14595407948629e-06
"best_ktsp_vs_each_classifier","balanced_accuracy","tier1_main","P0_derivative_amplitude_deciles","DERIVED_DECILES_ALL","single_condition","single_condition","ds004504__EC","AD_vs_CN","kTSP_k9_disjoint","knn_euclidean","classic_fast",20,0.0661845238095238,0.0594047619047618,0.0459224702380952,0.0872501488095238,0.000162641515230044,6.0726822682156e-06,0.0490829590524173,0.000358362660676369,0.00166391494149107,1.27845942488749e-05
"best_ktsp_vs_each_classifier","macro_f1","tier1_main","P0_derivative_amplitude_deciles","DERIVED_DECILES_ALL","single_condition","single_condition","ds004504__EC","AD_vs_CN","kTSP_k9_disjoint","xgboost_default","classic_fast",20,0.00640709698797937,0.0177551206962972,-0.0115685613620985,0.0227976092363089,0.322508682620795,0.4925952632109,1,0.351581792374871,1,0.521689484459609
"best_ktsp_vs_each_classifier","mcc","tier1_main","P0_derivative_amplitude_deciles","DERIVED_DECILES_ALL","single_condition","single_condition","ds004504__EC","AD_vs_CN","kTSP_k9_disjoint","xgboost_default","classic_fast",20,0.0272729075684338,0.0480013495833326,-0.00531368552018788,0.0571998933639093,0.070197451493027,0.114871841980899,1,0.0850878199915479,1,0.136689606018461
"best_ktsp_vs_each_classifier","balanced_accuracy","tier1_main","P0_derivative_amplitude_deciles","DERIVED_DECILES_ALL","single_condition","single_condition","ds004504__EC","AD_vs_CN","kTSP_k9_disjoint","xgboost_default","classic_fast",20,0.0112797619047619,0.0268452380952381,-0.00566681547619045,0.0270361607142857,0.112594551560966,0.209712103167986,1,0.129533554893147,1,0.236039596639292
"best_ktsp_vs_each_classifier","macro_f1","tier1_main","P0_derivative_amplitude_deciles","DERIVED_DECILES_ALL","single_condition","single_condition","ds004504__EC","AD_vs_CN","kTSP_k9_disjoint","glmnet_lasso","classic_fast",20,0.0718513703358905,0.075077700936834,0.0495125229216947,0.0937551171931783,0.000272706565159098,4.50678929549595e-06,0.0719945332019989,0.000527165107370746,0.00127542137062535,9.84676652797435e-06
"best_ktsp_vs_each_classifier","mcc","tier1_main","P0_derivative_amplitude_deciles","DERIVED_DECILES_ALL","single_condition","single_condition","ds004504__EC","AD_vs_CN","kTSP_k9_disjoint","glmnet_lasso","classic_fast",20,0.126426678696943,0.125584307055286,0.0836271748084104,0.170207969033377,0.000418811376312389,2.3586039858859e-05,0.105540466830712,0.000777792556008723,0.00615595640316221,4.71720797177181e-05
"best_ktsp_vs_each_classifier","balanced_accuracy","tier1_main","P0_derivative_amplitude_deciles","DERIVED_DECILES_ALL","single_condition","single_condition","ds004504__EC","AD_vs_CN","kTSP_k9_disjoint","glmnet_lasso","classic_fast",20,0.0709821428571429,0.0723809523809524,0.050916369047619,0.0923697916666666,0.00023574535856441,2.63775472295065e-06,0.0626295832706436,0.000466112496020886,0.000749122341317985,5.78747871702253e-06
"best_ktsp_vs_each_classifier","macro_f1","tier1_main","P0_derivative_amplitude_deciles","DERIVED_DECILES_ALL","single_condition","single_condition","ds004504__EC","AD_vs_CN","kTSP_k9_disjoint","glmnet_elasticnet","classic_fast",20,0.0612654017808816,0.0573400679128232,0.0420669116347618,0.0828109594503364,0.000203524868067628,1.20353622552474e-05,0.0590222117396071,0.000435526466646777,0.00311715882410907,2.3886978521865e-05
"best_ktsp_vs_each_classifier","mcc","tier1_main","P0_derivative_amplitude_deciles","DERIVED_DECILES_ALL","single_condition","single_condition","ds004504__EC","AD_vs_CN","kTSP_k9_disjoint","glmnet_elasticnet","classic_fast",20,0.102800548304937,0.0983726670137798,0.0621959742432535,0.145658009962588,0.000481928896718165,0.000157324527586609,0.115662935212359,0.00088240502216002,0.0342967470138809,0.000269995888927515
