"split_family","condition","task","repeat_id","positive_class","negative_class","n","tp","tn","fp","fn","accuracy","macro_f1","balanced_accuracy","mcc","precision_positive","recall_positive","f1_positive","support_positive","precision_negative","recall_negative","f1_negative","support_negative"
"P0","ds006036__EO_or_photomark","CN_vs_FTD",17,"FTD","CN",52,4,27,2,19,0.596153846153846,0.497931034482759,0.552473763118441,0.16314755964923,0.666666666666667,0.173913043478261,0.275862068965517,23,0.58695652173913,0.931034482758621,0.72,29
"P0","ds006036__EO_or_photomark","CN_vs_FTD",18,"FTD","CN",52,7,24,5,16,0.596153846153846,0.547826086956522,0.565967016491754,0.155524615566079,0.583333333333333,0.304347826086957,0.4,23,0.6,0.827586206896552,0.695652173913043,29
"P0","ds006036__EO_or_photomark","CN_vs_FTD",19,"FTD","CN",52,8,22,7,15,0.576923076923077,0.543859649122807,0.553223388305847,0.116694111104807,0.533333333333333,0.347826086956522,0.421052631578947,23,0.594594594594595,0.758620689655172,0.666666666666667,29
"P0","ds006036__EO_or_photomark","CN_vs_FTD",20,"FTD","CN",52,3,26,3,20,0.557692307692308,0.450114942528736,0.513493253373313,0.0419522296240876,0.5,0.130434782608696,0.206896551724138,23,0.565217391304348,0.896551724137931,0.693333333333333,29
"P1","ds004504__EC","AD_FTD_vs_CN",1,"AD_FTD","CN",88,53,1,28,6,0.613636363636364,0.406349206349206,0.466393921683226,-0.116756564101435,0.654320987654321,0.898305084745763,0.757142857142857,59,0.142857142857143,0.0344827586206897,0.0555555555555556,29
"P1","ds004504__EC","AD_FTD_vs_CN",2,"AD_FTD","CN",88,58,0,29,1,0.659090909090909,0.397260273972603,0.491525423728814,-0.0751646028002829,0.666666666666667,0.983050847457627,0.794520547945205,59,0,0,0,29
"P1","ds004504__EC","AD_FTD_vs_CN",3,"AD_FTD","CN",88,57,0,29,2,0.647727272727273,0.393103448275862,0.483050847457627,-0.106915030784482,0.662790697674419,0.966101694915254,0.786206896551724,59,0,0,0,29
"P1","ds004504__EC","AD_FTD_vs_CN",4,"AD_FTD","CN",88,59,0,29,0,0.670454545454545,0.401360544217687,0.5,0,0.670454545454545,1,0.802721088435374,59,0,0,0,29
"P1","ds004504__EC","AD_FTD_vs_CN",5,"AD_FTD","CN",88,59,0,29,0,0.670454545454545,0.401360544217687,0.5,0,0.670454545454545,1,0.802721088435374,59,0,0,0,29
"P1","ds004504__EC","AD_FTD_vs_CN",6,"AD_FTD","CN",88,58,0,29,1,0.659090909090909,0.397260273972603,0.491525423728814,-0.0751646028002829,0.666666666666667,0.983050847457627,0.794520547945205,59,0,0,0,29
"P1","ds004504__EC","AD_FTD_vs_CN",7,"AD_FTD","CN",88,57,0,29,2,0.647727272727273,0.393103448275862,0.483050847457627,-0.106915030784482,0.662790697674419,0.966101694915254,0.786206896551724,59,0,0,0,29
"P1","ds004504__EC","AD_FTD_vs_CN",8,"AD_FTD","CN",88,57,1,28,2,0.659090909090909,0.427083333333333,0.500292226767972,0.00151392689742945,0.670588235294118,0.966101694915254,0.791666666666667,59,0.333333333333333,0.0344827586206897,0.0625,29
"P1","ds004504__EC","AD_FTD_vs_CN",9,"AD_FTD","CN",88,57,0,29,2,0.647727272727273,0.393103448275862,0.483050847457627,-0.106915030784482,0.662790697674419,0.966101694915254,0.786206896551724,59,0,0,0,29
"P1","ds004504__EC","AD_FTD_vs_CN",10,"AD_FTD","CN",88,56,1,28,3,0.647727272727273,0.421911421911422,0.491817650496785,-0.036928646295287,0.666666666666667,0.949152542372881,0.783216783216783,59,0.25,0.0344827586206897,0.0606060606060606,29
"P1","ds004504__EC","AD_FTD_vs_CN",11,"AD_FTD","CN",88,58,1,28,1,0.670454545454545,0.432258064516129,0.508766803039158,0.0553008779919737,0.674418604651163,0.983050847457627,0.8,59,0.5,0.0344827586206897,0.0645161290322581,29
"P1","ds004504__EC","AD_FTD_vs_CN",12,"AD_FTD","CN",88,55,0,29,4,0.625,0.384615384615385,0.466101694915254,-0.152990106080475,0.654761904761905,0.932203389830508,0.769230769230769,59,0,0,0,29
"P1","ds004504__EC","AD_FTD_vs_CN",13,"AD_FTD","CN",88,59,0,29,0,0.670454545454545,0.401360544217687,0.5,0,0.670454545454545,1,0.802721088435374,59,0,0,0,29
"P1","ds004504__EC","AD_FTD_vs_CN",14,"AD_FTD","CN",88,59,2,27,0,0.693181818181818,0.471412680756396,0.53448275862069,0.21751678676843,0.686046511627907,1,0.813793103448276,59,1,0.0689655172413793,0.129032258064516,29
"P1","ds004504__EC","AD_FTD_vs_CN",15,"AD_FTD","CN",88,58,0,29,1,0.659090909090909,0.397260273972603,0.491525423728814,-0.0751646028002829,0.666666666666667,0.983050847457627,0.794520547945205,59,0,0,0,29
"P1","ds004504__EC","AD_FTD_vs_CN",16,"AD_FTD","CN",88,56,1,28,3,0.647727272727273,0.421911421911422,0.491817650496785,-0.036928646295287,0.666666666666667,0.949152542372881,0.783216783216783,59,0.25,0.0344827586206897,0.0606060606060606,29
"P1","ds004504__EC","AD_FTD_vs_CN",17,"AD_FTD","CN",88,57,1,28,2,0.659090909090909,0.427083333333333,0.500292226767972,0.00151392689742945,0.670588235294118,0.966101694915254,0.791666666666667,59,0.333333333333333,0.0344827586206897,0.0625,29
"P1","ds004504__EC","AD_FTD_vs_CN",18,"AD_FTD","CN",88,56,0,29,3,0.636363636363636,0.388888888888889,0.474576271186441,-0.131711640076362,0.658823529411765,0.949152542372881,0.777777777777778,59,0,0,0,29
