"split_family","condition","task","metric","n_repeats","repeat_mean","repeat_sd","repeat_median","repeat_iqr","repeat_min","repeat_max","comparison_policy"
"P1","ds004504__EC","AD_vs_CN","mcc",20,0.0852299961064168,0.086873069744702,0.0905386493874154,0.0742754372060382,-0.0938178905150891,0.277969282645598,"P0_and_P1_reported_as_separate_descriptive_strata; no_paired_cross_representation_test"
"P1","ds004504__EC","AD_vs_CN","precision_positive",20,0.583149806384462,0.0327975181569873,0.577350427350427,0.0252157042321413,0.529411764705882,0.666666666666667,"P0_and_P1_reported_as_separate_descriptive_strata; no_paired_cross_representation_test"
"P1","ds004504__EC","AD_vs_CN","recall_positive",20,0.761111111111111,0.0723233659736394,0.75,0.0625000000000001,0.611111111111111,0.944444444444444,"P0_and_P1_reported_as_separate_descriptive_strata; no_paired_cross_representation_test"
"P1","ds004504__EC","AD_vs_CN","f1_positive",20,0.657950502980635,0.0270556163583476,0.658680057388809,0.0362504320955824,0.611764705882353,0.701030927835051,"P0_and_P1_reported_as_separate_descriptive_strata; no_paired_cross_representation_test"
"P1","ds004504__EC","AD_vs_CN","precision_negative",20,0.51088007784232,0.0624631097733483,0.526315789473684,0.0452152014652014,0.357142857142857,0.615384615384615,"P0_and_P1_reported_as_separate_descriptive_strata; no_paired_cross_representation_test"
"P1","ds004504__EC","AD_vs_CN","recall_negative",20,0.317241379310345,0.123369267724126,0.310344827586207,0.120689655172414,0.0689655172413793,0.551724137931034,"P0_and_P1_reported_as_separate_descriptive_strata; no_paired_cross_representation_test"
"P1","ds004504__EC","AD_vs_CN","f1_negative",20,0.381094076136199,0.110509071552837,0.383152173913043,0.103553630754627,0.121212121212121,0.581818181818182,"P0_and_P1_reported_as_separate_descriptive_strata; no_paired_cross_representation_test"
"P0","ds004504__EC","AD_vs_FTD","accuracy",20,0.6,0.02878468406743,0.593220338983051,0.0254237288135594,0.542372881355932,0.644067796610169,"P0_and_P1_reported_as_separate_descriptive_strata; no_paired_cross_representation_test"
"P0","ds004504__EC","AD_vs_FTD","macro_f1",20,0.456545067754362,0.0490795966889919,0.455668405668406,0.0803961157220498,0.351648351648352,0.540600667408231,"P0_and_P1_reported_as_separate_descriptive_strata; no_paired_cross_representation_test"
"P0","ds004504__EC","AD_vs_FTD","balanced_accuracy",20,0.51286231884058,0.0306080706530162,0.515700483091787,0.0330615942028985,0.444444444444444,0.567028985507246,"P0_and_P1_reported_as_separate_descriptive_strata; no_paired_cross_representation_test"
"P0","ds004504__EC","AD_vs_FTD","mcc",20,0.0421284722023005,0.110720091696792,0.0526121859561681,0.101825797493289,-0.215556596894288,0.234349970059352,"P0_and_P1_reported_as_separate_descriptive_strata; no_paired_cross_representation_test"
"P0","ds004504__EC","AD_vs_FTD","precision_positive",20,0.617231633175906,0.0161604108152746,0.618181818181818,0.0178765950824774,0.581818181818182,0.647058823529412,"P0_and_P1_reported_as_separate_descriptive_strata; no_paired_cross_representation_test"
"P0","ds004504__EC","AD_vs_FTD","recall_positive",20,0.908333333333333,0.0533936062930989,0.916666666666667,0.0555555555555556,0.777777777777778,1,"P0_and_P1_reported_as_separate_descriptive_strata; no_paired_cross_representation_test"
"P0","ds004504__EC","AD_vs_FTD","f1_positive",20,0.734382684474896,0.0228981810307875,0.73448275862069,0.0363863287250384,0.691358024691358,0.774193548387097,"P0_and_P1_reported_as_separate_descriptive_strata; no_paired_cross_representation_test"
"P0","ds004504__EC","AD_vs_FTD","precision_negative",20,0.459085497835498,0.207780193731042,0.454545454545455,0.134523809523809,0,1,"P0_and_P1_reported_as_separate_descriptive_strata; no_paired_cross_representation_test"
"P0","ds004504__EC","AD_vs_FTD","recall_negative",20,0.117391304347826,0.0720660327982282,0.0869565217391304,0.0978260869565217,0,0.260869565217391,"P0_and_P1_reported_as_separate_descriptive_strata; no_paired_cross_representation_test"
"P0","ds004504__EC","AD_vs_FTD","f1_negative",20,0.178707451033827,0.0939017878405962,0.154074074074074,0.140215053763441,0,0.324324324324324,"P0_and_P1_reported_as_separate_descriptive_strata; no_paired_cross_representation_test"
"P1","ds004504__EC","AD_vs_FTD","accuracy",20,0.59406779661017,0.0282946398330421,0.601694915254237,0.0338983050847458,0.525423728813559,0.644067796610169,"P0_and_P1_reported_as_separate_descriptive_strata; no_paired_cross_representation_test"
"P1","ds004504__EC","AD_vs_FTD","macro_f1",20,0.470291578362652,0.0461224616386003,0.477293548119518,0.0712710084033613,0.3996743996744,0.532874354561102,"P0_and_P1_reported_as_separate_descriptive_strata; no_paired_cross_representation_test"
"P1","ds004504__EC","AD_vs_FTD","balanced_accuracy",20,0.513888888888889,0.0290152879048499,0.513586956521739,0.0406099033816424,0.454106280193237,0.559178743961353,"P0_and_P1_reported_as_separate_descriptive_strata; no_paired_cross_representation_test"
