"tier","scenario_family","scenario_name","layer","world","condition","task","block","model","accuracy","balanced_accuracy","f1_pos","f1_neg","macro_f1","mcc"
"tier2_cross_condition","cross_condition_transfer","EO_photo_train__EC_test","P1_psd_bandpower_from_derivatives","PSD_REGION_ABSOLUTE","EO_photo_train__EC_test","AD_vs_FTD","classic_fast","ranger_rf",0.745762711864407,0.728864734299517,0.794520547945206,0.666666666666667,0.730593607305936,0.461648936198984
"tier1_main","single_condition","single_condition","P0_derivative_amplitude_deciles","DERIVED_DECILES_ALL","ds004504__EC","AD_FTD_vs_CN","switchBox","kTSP_k9_disjoint",0.770208333333333,0.742318181818182,0.817828796083891,0.654956785216847,0.736392790650369,0.516853000590882
"tier1_main","single_condition","single_condition","P1_psd_bandpower_from_derivatives","PSD_ABSOLUTE_CHANNEL_BAND","ds004504__EC","AD_FTD_vs_CN","switchBox","kTSP_k9_disjoint",0.766736111111111,0.78819696969697,0.801634561622999,0.707277820218997,0.754456190920998,0.556501280478315
"tier1_main","single_condition","single_condition","P1_psd_bandpower_from_derivatives","PSD_REGION_ABSOLUTE","ds004504__EC","AD_FTD_vs_CN","switchBox","kTSP_k9_nondisjoint",0.781875,0.799780303030303,0.818017790514028,0.721661358249593,0.769839574381811,0.575637602042333
"tier1_main","single_condition","single_condition","P0_derivative_amplitude_deciles","RAW_DECILES","ds004504__EC","AD_FTD_vs_CN","switchBox","kTSP_k9_disjoint",0.766041666666667,0.719886363636364,0.824923866826552,0.617031538636802,0.720977702731677,0.479084160248125
"tier1_main","single_condition","single_condition","P0_derivative_amplitude_deciles","REGION_AGGREGATES_ALL","ds004504__EC","AD_FTD_vs_CN","switchBox","kTSP_k9_disjoint",0.780763888888889,0.742924242424242,0.834121036180533,0.650988212767624,0.742554624474079,0.521453294406437
"tier1_main","single_condition","single_condition","P0_derivative_amplitude_deciles","DERIVED_DECILES_ALL","ds006036__EO_or_photomark","AD_FTD_vs_CN","switchBox","kTSP_k9_disjoint",0.746212121212121,0.707973676155494,0.807307869341215,0.600757514750385,0.7040326920458,0.441870811178945
"tier1_main","single_condition","single_condition","P1_psd_bandpower_from_derivatives","PSD_ABSOLUTE_CHANNEL_BAND","ds006036__EO_or_photomark","AD_FTD_vs_CN","switchBox","kTSP_k9_disjoint",0.789236111111111,0.78194696969697,0.83382551036705,0.699418020575915,0.766621765471483,0.556252125428698
"tier1_main","single_condition","single_condition","P1_psd_bandpower_from_derivatives","PSD_REGION_ABSOLUTE","ds006036__EO_or_photomark","AD_FTD_vs_CN","switchBox","kTSP_k9_disjoint",0.753680555555556,0.792522727272727,0.777250413233735,0.715417054222008,0.746333733727872,0.56324926752984
"tier1_main","single_condition","single_condition","P0_derivative_amplitude_deciles","RAW_DECILES","ds006036__EO_or_photomark","AD_FTD_vs_CN","switchBox","kTSP_k9_disjoint",0.714015151515151,0.679935720844812,0.777352647475503,0.565186659719449,0.671269653597476,0.382944065969156
"tier1_main","single_condition","single_condition","P0_derivative_amplitude_deciles","REGION_AGGREGATES_ALL","ds006036__EO_or_photomark","AD_FTD_vs_CN","switchBox","kTSP_k9_disjoint",0.757013888888889,0.706030303030303,0.82082273789845,0.593706515706516,0.707264626802483,0.452115251019529
"tier2_cross_condition","cross_condition_transfer","EC_train__EO_photo_test","P0_derivative_amplitude_deciles","DERIVED_DECILES_ALL","EC_train__EO_photo_test","AD_FTD_vs_CN","switchBox","kTSP_CV_disjoint",0.829545454545455,0.776446522501461,0.88,0.705882352941177,0.792941176470588,0.600181802445519
"tier2_cross_condition","cross_condition_transfer","EC_train__EO_photo_test","P1_psd_bandpower_from_derivatives","PSD_REGION_ABSOLUTE","EC_train__EO_photo_test","AD_FTD_vs_CN","switchBox","kTSP_k5_disjoint",0.784090909090909,0.812682641729982,0.819047619047619,0.732394366197183,0.775720992622401,0.588511849805395
"tier2_cross_condition","cross_condition_transfer","EC_train__EO_photo_test","P0_derivative_amplitude_deciles","REGION_AGGREGATES_ALL","EC_train__EO_photo_test","AD_FTD_vs_CN","switchBox","kTSP_k5_nondisjoint",0.772727272727273,0.751607247223846,0.827586206896552,0.666666666666667,0.747126436781609,0.495176324525867
"tier2_cross_condition","cross_condition_transfer","EO_photo_train__EC_test","P0_derivative_amplitude_deciles","DERIVED_DECILES_ALL","EO_photo_train__EC_test","AD_FTD_vs_CN","switchBox","kTSP_k5_disjoint",0.829545454545455,0.78521332554062,0.878048780487805,0.716981132075472,0.797514956281638,0.602045348132407
