"tier","scenario_family","scenario_name","layer","world","condition","task","block_ktsp","model_ktsp","accuracy_ktsp","balanced_accuracy_ktsp","f1_pos_ktsp","f1_neg_ktsp","macro_f1_ktsp","mcc_ktsp","block_classic","model_classic","accuracy_classic","balanced_accuracy_classic","f1_pos_classic","f1_neg_classic","macro_f1_classic","mcc_classic","delta_accuracy","delta_balanced_accuracy","delta_f1_pos","delta_f1_neg","delta_macro_f1","delta_mcc"
"tier1_main","single_condition","single_condition","P0_derivative_amplitude_deciles","DERIVED_DECILES_ALL","ds006036__EO_or_photomark","AD_vs_FTD","switchBox","kTSP_k9_disjoint",0.577456753772543,0.568364661654135,0.625361408728689,0.483400809716599,0.554381109222644,0.144852334383903,"classic_fast","svm_linear_liblinear",0.727714204986932,0.713401875901876,0.770193256254331,0.64437375194951,0.70728350410192,0.447701968213282,-0.150257451214389,-0.145037214247741,-0.144831847525642,-0.16097294223291,-0.152902394879276,-0.302849633829379
"tier1_main","single_condition","single_condition","P0_derivative_amplitude_deciles","DERIVED_DECILES_ALL","ds006036__EO_or_photomark","CN_vs_FTD","switchBox","kTSP_k9_disjoint",0.680808080808081,0.675673400673401,0.630489992611205,0.702677737526222,0.666583865068713,0.375760050594907,"classic_fast","sda_shrinklda",0.770121212121212,0.7635,0.722122322122322,0.796842768342768,0.759482545232545,0.554160234195952,-0.0893131313131313,-0.0878265993265994,-0.0916323295111174,-0.094165030816546,-0.0928986801638317,-0.178400183601046
"tier1_main","single_condition","single_condition","P0_derivative_amplitude_deciles","RAW_DECILES","ds004504__EC","AD_FTD_vs_CN","switchBox","kTSP_k9_disjoint",0.766041666666667,0.719886363636364,0.824923866826552,0.617031538636802,0.720977702731677,0.479084160248125,"classic_fast","sda_shrinklda",0.767083333333333,0.74469696969697,0.820397371034563,0.654805826526415,0.737601598780489,0.495101176414368,-0.00104166666666672,-0.0248106060606061,0.00452649579198916,-0.0377742878896129,-0.0166238960488119,-0.0160170161662436
"tier1_main","single_condition","single_condition","P0_derivative_amplitude_deciles","RAW_DECILES","ds004504__EC","AD_vs_CN","switchBox","kTSP_k9_disjoint",0.713974358974359,0.702708333333333,0.746402406245286,0.636383138103726,0.691392772174506,0.452838636334854,"classic_fast","ranger_rf",0.797967032967033,0.797696428571429,0.811366695396107,0.775854978354978,0.793610836875543,0.606140216016357,-0.0839926739926741,-0.0949880952380951,-0.0649642891508215,-0.139471840251252,-0.102218064701037,-0.153301579681503
"tier1_main","single_condition","single_condition","P0_derivative_amplitude_deciles","RAW_DECILES","ds004504__EC","AD_vs_FTD","switchBox","kTSP_k9_disjoint",0.552478883124044,0.560848694316436,0.571050867398116,0.49522422022422,0.533137543811168,0.131853128888588,"classic_fast","xgboost_default",0.631737310308739,0.619460641399417,0.681260341299357,0.535948122172612,0.608604231735984,0.254708933738441,-0.0792584271846946,-0.0586119470829808,-0.110209473901241,-0.0407239019483919,-0.0754666879248164,-0.122855804849853
"tier1_main","single_condition","single_condition","P0_derivative_amplitude_deciles","RAW_DECILES","ds004504__EC","CN_vs_FTD","switchBox","kTSP_k9_disjoint",0.67320202020202,0.674,0.626919635919636,0.68331240981241,0.655116022866023,0.373914707537005,"classic_fast","ranger_rf",0.744505662687481,0.737878787878788,0.68609179821301,0.775160305463336,0.730626051838173,0.494966997707112,-0.0713036424854607,-0.0638787878787879,-0.0591721622933745,-0.091847895650926,-0.0755100289721502,-0.121052290170107
"tier1_main","single_condition","single_condition","P0_derivative_amplitude_deciles","RAW_DECILES","ds006036__EO_or_photomark","AD_FTD_vs_CN","switchBox","kTSP_k9_disjoint",0.714015151515151,0.679935720844812,0.777352647475503,0.565186659719449,0.671269653597476,0.382944065969156,"classic_fast","sda_shrinklda",0.755416666666667,0.717159090909091,0.818477254350023,0.614033189033189,0.716255221691606,0.450233578955787,-0.0414015151515151,-0.0372233700642791,-0.0411246068745204,-0.0488465293137401,-0.0449855680941302,-0.0672895129866312
"tier1_main","single_condition","single_condition","P0_derivative_amplitude_deciles","RAW_DECILES","ds006036__EO_or_photomark","AD_vs_CN","switchBox","kTSP_k9_disjoint",0.711677211677212,0.699013949013949,0.745273671976458,0.627545602545603,0.68640963726103,0.457644388983307,"classic_fast","sda_shrinklda",0.730457875457875,0.723571428571429,0.76290730013021,0.67158374958375,0.71724552485698,0.471407913592388,-0.0187806637806638,-0.0245574795574796,-0.0176336281537519,-0.044038147038147,-0.0308358875959495,-0.0137635246090811
"tier1_main","single_condition","single_condition","P0_derivative_amplitude_deciles","RAW_DECILES","ds006036__EO_or_photomark","AD_vs_FTD","switchBox","kTSP_k9_nondisjoint",0.637398315969744,0.639413265306123,0.667355358989907,0.575639213394315,0.621497286192112,0.286875206607943,"classic_fast","knn_euclidean",0.644627230692804,0.586241217798595,0.741879497534728,0.403337827927992,0.57260866273136,0.228471950230533,-0.00722891472305986,0.0531720475075275,-0.0745241385448202,0.172301385466324,0.0488886234607516,0.0584032563774097
"tier1_main","single_condition","single_condition","P0_derivative_amplitude_deciles","RAW_DECILES","ds006036__EO_or_photomark","CN_vs_FTD","switchBox","kTSP_k5_disjoint",0.673206815631058,0.672053872053872,0.630935506693082,0.689741963984388,0.660338735338735,0.364876869138952,"classic_fast","sda_shrinklda",0.748767676767677,0.745666666666667,0.705886169386169,0.7691891996892,0.737537684537685,0.512154961612553,-0.0755608611366186,-0.0736127946127946,-0.0749506626930869,-0.0794472357048114,-0.0771989491989492,-0.147278092473601
"tier1_main","single_condition","single_condition","P0_derivative_amplitude_deciles","REGION_AGGREGATES_ALL","ds004504__EC","AD_FTD_vs_CN","switchBox","kTSP_k9_disjoint",0.780763888888889,0.742924242424242,0.834121036180533,0.650988212767624,0.742554624474079,0.521453294406437,"classic_fast","sda_shrinklda",0.756111111111111,0.720234848484849,0.816510286953092,0.621458721017545,0.718984503985318,0.45760541791579,0.0246527777777779,0.0226893939393938,0.0176107492274405,0.0295294917500799,0.0235701204887603,0.063847876490647
"tier1_main","single_condition","single_condition","P0_derivative_amplitude_deciles","REGION_AGGREGATES_ALL","ds004504__EC","AD_vs_CN","switchBox","kTSP_k5_nondisjoint",0.743525641025641,0.741363095238095,0.762977537168714,0.706636030636031,0.734806783902372,0.498826754694397,"classic_fast","ranger_rf",0.780302197802198,0.780285714285714,0.792655739513325,0.75714097014097,0.774898354827147,0.57371542996614,-0.0367765567765568,-0.038922619047619,-0.029678202344611,-0.0505049395049395,-0.0400915709247752,-0.0748886752717429
"tier1_main","single_condition","single_condition","P0_derivative_amplitude_deciles","REGION_AGGREGATES_ALL","ds004504__EC","AD_vs_FTD","switchBox","kTSP_k9_disjoint",0.485468832243026,0.50397465437788,0.488611232396811,0.458582456969554,0.473596844683182,0.0117962223511713,"classic_fast","glmnet_ridge",0.634199134199134,0.565051020408163,0.741532139171458,0.351927437641723,0.546729788406591,0.204730361297189,-0.148730301956108,-0.0610763660302832,-0.252920906774647,0.10665501932783,-0.0731329437234083,-0.192934138946018
"tier1_main","single_condition","single_condition","P0_derivative_amplitude_deciles","REGION_AGGREGATES_ALL","ds004504__EC","CN_vs_FTD","switchBox","kTSP_CV_disjoint",0.769181818181818,0.769833333333333,0.744198967698968,0.777572705072705,0.760885836385836,0.556930051899034,"classic_fast","ranger_rf",0.741485562697684,0.732491582491583,0.676558514437302,0.775630205933236,0.726094360185269,0.486716068670735,0.0276962554841342,0.0373417508417508,0.0676404532616655,0.00194249913946887,0.0347914762005671,0.0702139832282984
"tier1_main","single_condition","single_condition","P0_derivative_amplitude_deciles","REGION_AGGREGATES_ALL","ds006036__EO_or_photomark","AD_FTD_vs_CN","switchBox","kTSP_k9_disjoint",0.757013888888889,0.706030303030303,0.82082273789845,0.593706515706516,0.707264626802483,0.452115251019529,"classic_fast","knn_euclidean",0.739097222222222,0.710060606060606,0.801089021868885,0.607040389349213,0.704064705609049,0.425432965016371,0.0179166666666667,-0.00403030303030305,0.0197337160295654,-0.0133338736426971,0.00319992119343415,0.0266822860031587
"tier1_main","single_condition","single_condition","P0_derivative_amplitude_deciles","REGION_AGGREGATES_ALL","ds006036__EO_or_photomark","AD_vs_CN","switchBox","kTSP_k9_disjoint",0.781126373626373,0.761815476190476,0.825314288738437,0.68710150960151,0.756207899169973,0.587803364779136,"classic_fast","ranger_rf",0.726428571428571,0.720363095238095,0.756083512892336,0.674365634365634,0.715224573628985,0.460297789109646,0.0546978021978022,0.0414523809523809,0.069230775846101,0.0127358752358753,0.040983325540988,0.12750557566949
"tier1_main","single_condition","single_condition","P0_derivative_amplitude_deciles","REGION_AGGREGATES_ALL","ds006036__EO_or_photomark","AD_vs_FTD","switchBox","kTSP_k9_disjoint",0.5508604870307,0.549867021276596,0.587388857766303,0.474873825937656,0.531131341851979,0.104711938411378,"classic_fast","svm_linear_liblinear",0.565994936962679,0.560023041474654,0.608529505308692,0.484973091424704,0.546751298366698,0.128938264572493,-0.0151344499319792,-0.0101560201980586,-0.0211406475423891,-0.0100992654870486,-0.0156199565147189,-0.0242263261611151
"tier1_main","single_condition","single_condition","P0_derivative_amplitude_deciles","REGION_AGGREGATES_ALL","ds006036__EO_or_photomark","CN_vs_FTD","switchBox","TSP_k1",0.747740026527905,0.756144781144781,0.737426266214145,0.741109563836837,0.739267915025491,0.530063471275608,"classic_fast","sda_shrinklda",0.753474135292317,0.753535353535354,0.726659872114418,0.765514395817426,0.746087133965922,0.52436988681481,-0.00573410876441183,0.00260942760942751,0.0107663940997273,-0.0244048319805894,-0.00681921894043103,0.00569358446079726
"tier1_main","single_condition","single_condition","P1_psd_bandpower_from_derivatives","PSD_ABSOLUTE_CHANNEL_BAND","ds004504__EC","AD_FTD_vs_CN","switchBox","kTSP_k9_disjoint",0.766736111111111,0.78819696969697,0.801634561622999,0.707277820218997,0.754456190920998,0.556501280478315,"classic_fast","sda_shrinklda",0.820917508417508,0.771365166819712,0.872894880619957,0.686734309461582,0.77981459504077,0.588675354384519,-0.0541813973063973,0.0168318028772574,-0.0712603189969587,0.0205435107574146,-0.0253584041197721,-0.032174073906204
"tier1_main","single_condition","single_condition","P1_psd_bandpower_from_derivatives","PSD_ABSOLUTE_CHANNEL_BAND","ds004504__EC","AD_vs_CN","switchBox","kTSP_k9_disjoint",0.80231684981685,0.809517857142857,0.798204326719033,0.800295364765953,0.799249845742493,0.629033474369374,"classic_fast","ranger_rf",0.815320512820513,0.81575,0.825199682670271,0.795658175158175,0.810428928914223,0.648383493215519,-0.0130036630036631,-0.00623214285714291,-0.0269953559512383,0.00463718960777781,-0.0111790831717302,-0.0193500188461446
"tier1_main","single_condition","single_condition","P1_psd_bandpower_from_derivatives","PSD_ABSOLUTE_CHANNEL_BAND","ds004504__EC","AD_vs_FTD","switchBox","kTSP_CV_disjoint",0.55371965432941,0.54087543554007,0.607052373570534,0.445709439611879,0.526380906591206,0.0915426174053799,"classic_fast","ranger_rf",0.63302548900375,0.598544254658385,0.710087154697802,0.473412698412698,0.59174992655525,0.220611457960632,-0.0793058346743393,-0.0576688191183153,-0.103034781127268,-0.0277032588008199,-0.065369019964044,-0.129068840555252
"tier1_main","single_condition","single_condition","P1_psd_bandpower_from_derivatives","PSD_ABSOLUTE_CHANNEL_BAND","ds004504__EC","CN_vs_FTD","switchBox","kTSP_k9_disjoint",0.78694234006734,0.76953125,0.707205236892737,0.826987884800385,0.767096560846561,0.588967090322943,"classic_fast","ranger_rf",0.719755449229133,0.710087719298246,0.653819747503958,0.751553884711779,0.702686816107869,0.447753092630015,0.0671868908382067,0.0594435307017545,0.0533854893887789,0.0754340000886052,0.0644097447386921,0.141213997692927
"tier1_main","single_condition","single_condition","P1_psd_bandpower_from_derivatives","PSD_ABSOLUTE_CHANNEL_BAND","ds006036__EO_or_photomark","AD_FTD_vs_CN","switchBox","kTSP_k9_disjoint",0.789236111111111,0.78194696969697,0.83382551036705,0.699418020575915,0.766621765471483,0.556252125428698,"classic_fast","sda_shrinklda",0.785486111111111,0.730666666666667,0.847464951562403,0.621681263181263,0.734573107371833,0.503088382068222,0.00375000000000003,0.0512803030303031,-0.0136394411953527,0.0777367573946521,0.0320486580996497,0.0531637433604762
"tier1_main","single_condition","single_condition","P1_psd_bandpower_from_derivatives","PSD_ABSOLUTE_CHANNEL_BAND","ds006036__EO_or_photomark","AD_vs_CN","switchBox","kTSP_k9_disjoint",0.775384615384615,0.778071428571429,0.786355978988332,0.753560495060495,0.769958237024413,0.56972226382529,"classic_fast","sda_shrinklda",0.747335164835165,0.745642857142857,0.76915480761069,0.708745698745699,0.738950253178194,0.505750728258536,0.0280494505494505,0.0324285714285715,0.0172011713776419,0.0448147963147963,0.0310079838462192,0.0639715355667544
"tier1_main","single_condition","single_condition","P1_psd_bandpower_from_derivatives","PSD_ABSOLUTE_CHANNEL_BAND","ds006036__EO_or_photomark","AD_vs_FTD","switchBox","kTSP_k9_disjoint",0.606485671191553,0.580756302521008,0.673566234146274,0.464804672451731,0.569185453299003,0.186481744248043,"classic_fast","knn_euclidean",0.595203407703408,0.563456632653061,0.670645935550845,0.435908271622557,0.553277103586701,0.147139976798278,0.0112822634881459,0.0172996698679471,0.0029202985954293,0.0288964008291739,0.0159083497123017,0.0393417674497646
"tier1_main","single_condition","single_condition","P1_psd_bandpower_from_derivatives","PSD_ABSOLUTE_CHANNEL_BAND","ds006036__EO_or_photomark","CN_vs_FTD","switchBox","kTSP_k3_disjoint",0.814767676767677,0.818333333333333,0.803390775890776,0.815352203352203,0.80937148962149,0.655529521246105,"classic_fast","glmnet_lasso",0.790511172329354,0.786531986531987,0.747780109901322,0.813761491034218,0.78077080046777,0.597263806857283,0.0242565044383226,0.0318013468013468,0.0556106659894539,0.00159071231798502,0.0286006891537194,0.0582657143888222
"tier1_main","single_condition","single_condition","P1_psd_bandpower_from_derivatives","PSD_REGION_ABSOLUTE","ds004504__EC","AD_FTD_vs_CN","switchBox","kTSP_k9_nondisjoint",0.781875,0.799780303030303,0.818017790514028,0.721661358249593,0.769839574381811,0.575637602042333,"classic_fast","ranger_rf",0.808888888888889,0.753992424242424,0.864879268019448,0.657797091797092,0.76133817990827,0.563032317878357,-0.0270138888888889,0.0457878787878788,-0.0468614775054197,0.0638642664525017,0.00850139447354104,0.0126052841639755
"tier1_main","single_condition","single_condition","P1_psd_bandpower_from_derivatives","PSD_REGION_ABSOLUTE","ds004504__EC","AD_vs_CN","switchBox","kTSP_k5_disjoint",0.796437728937729,0.810940476190476,0.774208596958597,0.810409654758726,0.792309125858661,0.640884583998936,"classic_fast","ranger_rf",0.808086080586081,0.808011904761905,0.822042555483732,0.783136135106723,0.802589345295228,0.629425625650901,-0.0116483516483518,0.0029285714285715,-0.0478339585251351,0.0272735196520026,-0.0102802194365661,0.0114589583480346
"tier1_main","single_condition","single_condition","P1_psd_bandpower_from_derivatives","PSD_REGION_ABSOLUTE","ds004504__EC","AD_vs_FTD","switchBox","kTSP_k9_disjoint",0.509324009324009,0.486522911051213,0.567610167610168,0.363463580444712,0.46553687402744,-0.0035869555475102,"classic_fast","knn_euclidean",0.614816617981175,0.573892405063291,0.698849504968955,0.429342247063766,0.56409587601636,0.178633084363239,-0.105492608657165,-0.0873694940120783,-0.131239337358787,-0.0658786666190536,-0.0985590019889203,-0.18222003991075
"tier1_main","single_condition","single_condition","P1_psd_bandpower_from_derivatives","PSD_REGION_ABSOLUTE","ds004504__EC","CN_vs_FTD","switchBox","kTSP_k5_nondisjoint",0.787212121212121,0.77775,0.734503607503608,0.817388389388389,0.775945998445998,0.581904873011578,"classic_fast","sda_shrinklda",0.736241199877563,0.747643097643098,0.738802106983925,0.719317943560368,0.729060025272147,0.511504045707068,0.0509709213345577,0.0301069023569024,-0.00429849948031746,0.0980704458280214,0.0468859731738519,0.07040082730451
"tier1_main","single_condition","single_condition","P1_psd_bandpower_from_derivatives","PSD_REGION_ABSOLUTE","ds006036__EO_or_photomark","AD_FTD_vs_CN","switchBox","kTSP_k9_disjoint",0.753680555555556,0.792522727272727,0.777250413233735,0.715417054222008,0.746333733727872,0.56324926752984,"classic_fast","svm_linear_liblinear",0.763194444444444,0.715409090909091,0.827905470158694,0.601864718614719,0.714885094386706,0.459368910969698,-0.00951388888888882,0.0771136363636363,-0.0506550569249582,0.113552335607289,0.0314486393411655,0.103880356560142
"tier1_main","single_condition","single_condition","P1_psd_bandpower_from_derivatives","PSD_REGION_ABSOLUTE","ds006036__EO_or_photomark","AD_vs_CN","switchBox","kTSP_k9_disjoint",0.818681318681319,0.829422619047619,0.807592019092019,0.823154187315952,0.815373103203985,0.67248936704632,"classic_fast","sda_shrinklda",0.796831501831502,0.787755952380952,0.826558232702969,0.743990897990898,0.785274565346934,0.604221614851531,0.0218498168498168,0.0416666666666667,-0.0189662136109505,0.079163289325054,0.0300985378570517,0.0682677521947889
"tier1_main","single_condition","single_condition","P1_psd_bandpower_from_derivatives","PSD_REGION_ABSOLUTE","ds006036__EO_or_photomark","AD_vs_FTD","switchBox","kTSP_k3_nondisjoint",0.600578908271216,0.582554945054945,0.664038600727608,0.481920765437249,0.572979683082429,0.174093621367052,"classic_fast","knn_euclidean",0.613254129383161,0.582872503840246,0.683377476284198,0.465912164299261,0.574644820291729,0.187679932424986,-0.0126752211119456,-0.000317558785300709,-0.0193388755565893,0.0160086011379877,-0.00166513720930073,-0.0135863110579339
"tier1_main","single_condition","single_condition","P1_psd_bandpower_from_derivatives","PSD_REGION_ABSOLUTE","ds006036__EO_or_photomark","CN_vs_FTD","switchBox","kTSP_k9_nondisjoint",0.794171717171717,0.794166666666667,0.772558497058497,0.803840659340659,0.788199578199578,0.605276302370458,"classic_fast","glmnet_ridge",0.817353535353535,0.8185,0.792176878676879,0.828463425463425,0.810320152070152,0.65708813004033,-0.0231818181818182,-0.0243333333333333,-0.0196183816183816,-0.024622766122766,-0.0221205738705739,-0.0518118276698714
"tier2_cross_condition","cross_condition_transfer","EC_train__EO_photo_test","P0_derivative_amplitude_deciles","DERIVED_DECILES_ALL","EC_train__EO_photo_test","AD_FTD_vs_CN","switchBox","kTSP_CV_disjoint",0.829545454545455,0.776446522501461,0.88,0.705882352941177,0.792941176470588,0.600181802445519,"classic_fast","xgboost_default",0.806818181818182,0.785797779076563,0.854700854700855,0.711864406779661,0.783282630740258,0.566812247631769,0.022727272727273,-0.00935125657510205,0.025299145299145,-0.00598205383848405,0.00965854573033009,0.03336955481375
"tier2_cross_condition","cross_condition_transfer","EC_train__EO_photo_test","P0_derivative_amplitude_deciles","DERIVED_DECILES_ALL","EC_train__EO_photo_test","AD_vs_CN","switchBox","kTSP_CV_disjoint",0.8,0.792624521072797,0.826666666666667,0.763636363636364,0.795151515151515,0.593843467470141,"classic_fast","ranger_rf",0.907692307692308,0.896551724137931,0.923076923076923,0.884615384615385,0.903846153846154,0.824501640789771,-0.107692307692308,-0.103927203065134,-0.096410256410256,-0.120979020979021,-0.108694638694639,-0.23065817331963
"tier2_cross_condition","cross_condition_transfer","EC_train__EO_photo_test","P0_derivative_amplitude_deciles","DERIVED_DECILES_ALL","EC_train__EO_photo_test","AD_vs_FTD","switchBox","kTSP_k3_nondisjoint",0.644067796610169,0.645531400966184,0.686567164179104,0.588235294117647,0.637401229148376,0.284277188482228,"classic_fast","sda_shrinklda",0.76271186440678,0.766304347826087,0.794117647058823,0.72,0.757058823529412,0.521394625089733,-0.118644067796611,-0.120772946859903,-0.107550482879719,-0.131764705882353,-0.119657594381036,-0.237117436607505
"tier2_cross_condition","cross_condition_transfer","EC_train__EO_photo_test","P0_derivative_amplitude_deciles","DERIVED_DECILES_ALL","EC_train__EO_photo_test","CN_vs_FTD","switchBox","kTSP_CV_disjoint",0.807692307692308,0.818590704647676,0.807692307692308,0.807692307692308,0.807692307692308,0.637181409295352,"classic_fast","ranger_rf",0.865384615384615,0.870314842578711,0.857142857142857,0.872727272727273,0.864935064935065,0.735682938029248,-0.0576923076923069,-0.0517241379310349,-0.0494505494505489,-0.065034965034965,-0.057242757242757,-0.0985015287338959
"tier2_cross_condition","cross_condition_transfer","EC_train__EO_photo_test","P0_derivative_amplitude_deciles","REGION_AGGREGATES_ALL","EC_train__EO_photo_test","AD_FTD_vs_CN","switchBox","kTSP_k5_nondisjoint",0.772727272727273,0.751607247223846,0.827586206896552,0.666666666666667,0.747126436781609,0.495176324525867,"classic_fast","sda_shrinklda",0.806818181818182,0.785797779076563,0.854700854700855,0.711864406779661,0.783282630740258,0.566812247631769,-0.0340909090909089,-0.034190531852717,-0.0271146478043029,-0.045197740112994,-0.036156193958649,-0.0716359231059019
"tier2_cross_condition","cross_condition_transfer","EC_train__EO_photo_test","P0_derivative_amplitude_deciles","REGION_AGGREGATES_ALL","EC_train__EO_photo_test","AD_vs_CN","switchBox","kTSP_CV_disjoint",0.815384615384615,0.809865900383142,0.837837837837838,0.785714285714286,0.811776061776062,0.625144408342938,"classic_fast","ranger_rf",0.869230769230769,0.853448275862069,0.894444444444444,0.828163265306122,0.861303854875283,0.756253148228218,-0.0538461538461544,-0.043582375478927,-0.0566066066066064,-0.0424489795918365,-0.0495277930992215,-0.131108739885279
"tier2_cross_condition","cross_condition_transfer","EC_train__EO_photo_test","P0_derivative_amplitude_deciles","REGION_AGGREGATES_ALL","EC_train__EO_photo_test","AD_vs_FTD","switchBox","kTSP_k3_disjoint",0.627118644067797,0.655193236714976,0.633333333333333,0.620689655172414,0.627011494252874,0.308161452101503,"classic_fast","sda_shrinklda",0.694915254237288,0.68719806763285,0.742857142857143,0.625,0.683928571428571,0.369519245590278,-0.0677966101694909,-0.032004830917874,-0.10952380952381,-0.00431034482758597,-0.0569170771756971,-0.061357793488775
"tier2_cross_condition","cross_condition_transfer","EC_train__EO_photo_test","P0_derivative_amplitude_deciles","REGION_AGGREGATES_ALL","EC_train__EO_photo_test","CN_vs_FTD","switchBox","kTSP_CV_nondisjoint",0.769230769230769,0.770614692653673,0.75,0.785714285714286,0.767857142857143,0.538012540258575,"classic_fast","sda_shrinklda",0.865384615384615,0.861319340329835,0.844444444444444,0.88135593220339,0.862900188323917,0.72646074794165,-0.0961538461538459,-0.090704647676162,-0.094444444444444,-0.095641646489104,-0.095043045466774,-0.188448207683075
