split_family,layer,world,condition,task,repeat_id,negative_class,positive_class,oof_subject_n,outer_fold_n,original_accuracy,adjusted_accuracy,delta_accuracy_adjusted_minus_original,original_balanced_accuracy,adjusted_balanced_accuracy,delta_balanced_accuracy_adjusted_minus_original,original_macro_f1,adjusted_macro_f1,delta_macro_f1_adjusted_minus_original,original_mcc,adjusted_mcc,delta_mcc_adjusted_minus_original,original_precision_negative,adjusted_precision_negative,delta_precision_negative_adjusted_minus_original,original_recall_negative,adjusted_recall_negative,delta_recall_negative_adjusted_minus_original,original_f1_negative,adjusted_f1_negative,delta_f1_negative_adjusted_minus_original,original_support_negative,adjusted_support_negative,delta_support_negative_adjusted_minus_original,original_precision_positive,adjusted_precision_positive,delta_precision_positive_adjusted_minus_original,original_recall_positive,adjusted_recall_positive,delta_recall_positive_adjusted_minus_original,original_f1_positive,adjusted_f1_positive,delta_f1_positive_adjusted_minus_original,original_support_positive,adjusted_support_positive,delta_support_positive_adjusted_minus_original,original_tp,adjusted_tp,delta_tp_adjusted_minus_original,original_tn,adjusted_tn,delta_tn_adjusted_minus_original,original_fp,adjusted_fp,delta_fp_adjusted_minus_original,original_fn,adjusted_fn,delta_fn_adjusted_minus_original,prediction_changed_n,prediction_changed_proportion,correct_to_incorrect_n,correct_to_incorrect_proportion,incorrect_to_correct_n,incorrect_to_correct_proportion,net_correct_change_n
P0,P0_derivative_amplitude_deciles,REGION_AGGREGATES_ALL,ds004504__EC,CN_vs_FTD,13,CN,FTD,52,5,0.8076923076923077,0.7115384615384616,-0.09615384615384615,0.8095952023988007,0.7143928035982009,-0.09520239880059977,0.8065476190476191,0.7105751391465678,-0.09597247990105129,0.6155101914869567,0.4259217009643015,-0.18958849052265525,0.8518518518518519,0.7692307692307693,-0.08262108262108259,0.7931034482758621,0.6896551724137931,-0.10344827586206895,0.8214285714285715,0.7272727272727274,-0.0941558441558441,29,29,0.0,0.76,0.6538461538461539,-0.10615384615384615,0.8260869565217391,0.7391304347826086,-0.08695652173913049,0.7916666666666667,0.693877551020408,-0.0977891156462587,23,23,0.0,19,17,-2.0,23,20,-3.0,6,9,3.0,4,6,2.0,9,0.17307692307692307,7,0.1346153846153846,2,0.038461538461538464,-5
P0,P0_derivative_amplitude_deciles,REGION_AGGREGATES_ALL,ds004504__EC,CN_vs_FTD,14,CN,FTD,52,5,0.6923076923076923,0.7307692307692307,0.038461538461538436,0.7061469265367316,0.7316341829085458,0.02548725637181415,0.6918518518518519,0.7291666666666667,0.0373148148148148,0.41732968986008334,0.4605148890301928,0.043185199170109434,0.8095238095238095,0.7777777777777778,-0.031746031746031744,0.5862068965517241,0.7241379310344828,0.13793103448275867,0.68,0.75,0.06999999999999995,29,29,0.0,0.6129032258064516,0.68,0.06709677419354843,0.8260869565217391,0.7391304347826086,-0.08695652173913049,0.7037037037037037,0.7083333333333334,0.00462962962962965,23,23,0.0,19,17,-2.0,17,21,4.0,12,8,-4.0,4,6,2.0,8,0.15384615384615385,3,0.057692307692307696,5,0.09615384615384616,2
P0,P0_derivative_amplitude_deciles,REGION_AGGREGATES_ALL,ds004504__EC,CN_vs_FTD,15,CN,FTD,52,5,0.8269230769230769,0.6923076923076923,-0.13461538461538458,0.8223388305847077,0.7016491754122939,-0.12068965517241381,0.823728813559322,0.6923076923076923,-0.13142112125162975,0.6480873892425505,0.4032983508245877,-0.2447890384179628,0.8333333333333334,0.782608695652174,-0.050724637681159424,0.8620689655172413,0.6206896551724138,-0.2413793103448275,0.847457627118644,0.6923076923076923,-0.15514993481095174,29,29,0.0,0.8181818181818182,0.6206896551724138,-0.19749216300940442,0.782608695652174,0.782608695652174,0.0,0.8,0.6923076923076923,-0.10769230769230775,23,23,0.0,18,18,0.0,25,18,-7.0,4,11,7.0,5,5,0.0,15,0.28846153846153844,11,0.21153846153846154,4,0.07692307692307693,-7
P0,P0_derivative_amplitude_deciles,REGION_AGGREGATES_ALL,ds004504__EC,CN_vs_FTD,16,CN,FTD,52,5,0.75,0.6923076923076923,-0.05769230769230771,0.7488755622188905,0.697151424287856,-0.051724137931034475,0.7476670399402762,0.6918518518518519,-0.05581518808842423,0.4958959143880507,0.39195927448200873,-0.10393663990604196,0.7857142857142857,0.76,-0.02571428571428569,0.7586206896551724,0.6551724137931034,-0.10344827586206895,0.7719298245614034,0.7037037037037037,-0.06822612085769963,29,29,0.0,0.7083333333333334,0.6296296296296297,-0.07870370370370372,0.7391304347826086,0.7391304347826086,0.0,0.723404255319149,0.68,-0.04340425531914893,23,23,0.0,17,17,0.0,22,19,-3.0,7,10,3.0,6,6,0.0,13,0.25,8,0.15384615384615385,5,0.09615384615384616,-3
P0,P0_derivative_amplitude_deciles,REGION_AGGREGATES_ALL,ds004504__EC,CN_vs_FTD,17,CN,FTD,52,5,0.8076923076923077,0.5769230769230769,-0.23076923076923084,0.800599700149925,0.5667166416791605,-0.23388305847076452,0.803030303030303,0.5666666666666667,-0.23636363636363633,0.6085425659414306,0.1350630632638088,-0.47347950267762184,0.8064516129032258,0.6129032258064516,-0.19354838709677413,0.8620689655172413,0.6551724137931034,-0.2068965517241379,0.8333333333333334,0.6333333333333333,-0.20000000000000007,29,29,0.0,0.8095238095238095,0.5238095238095238,-0.2857142857142857,0.7391304347826086,0.4782608695652174,-0.26086956521739124,0.7727272727272727,0.5,-0.2727272727272727,23,23,0.0,17,11,-6.0,25,19,-6.0,4,10,6.0,6,12,6.0,18,0.34615384615384615,15,0.28846153846153844,3,0.057692307692307696,-12
P0,P0_derivative_amplitude_deciles,REGION_AGGREGATES_ALL,ds004504__EC,CN_vs_FTD,18,CN,FTD,52,5,0.7307692307692307,0.5961538461538461,-0.13461538461538458,0.7406296851574212,0.6064467766116941,-0.13418290854572712,0.7307692307692308,0.5960044395116537,-0.13476479125757712,0.48125937031484256,0.21401955644753992,-0.26723981386730267,0.8260869565217391,0.6818181818181818,-0.14426877470355737,0.6551724137931034,0.5172413793103449,-0.13793103448275856,0.7307692307692308,0.5882352941176471,-0.14253393665158376,29,29,0.0,0.6551724137931034,0.5333333333333333,-0.1218390804597701,0.8260869565217391,0.6956521739130435,-0.13043478260869568,0.7307692307692308,0.6037735849056605,-0.12699564586357037,23,23,0.0,19,16,-3.0,19,15,-4.0,10,14,4.0,4,7,3.0,9,0.17307692307692307,8,0.15384615384615385,1,0.019230769230769232,-7
P0,P0_derivative_amplitude_deciles,REGION_AGGREGATES_ALL,ds004504__EC,CN_vs_FTD,19,CN,FTD,52,5,0.7884615384615384,0.6153846153846154,-0.17307692307692302,0.787856071964018,0.6281859070464768,-0.15967016491754116,0.7864874953340799,0.6148148148148149,-0.171672680519265,0.5735663588102755,0.25950318896754276,-0.31406316984273275,0.8214285714285714,0.7142857142857143,-0.1071428571428571,0.7931034482758621,0.5172413793103449,-0.27586206896551724,0.8070175438596492,0.6000000000000001,-0.2070175438596491,29,29,0.0,0.75,0.5483870967741935,-0.2016129032258065,0.782608695652174,0.7391304347826086,-0.0434782608695653,0.7659574468085107,0.6296296296296297,-0.1363278171788811,23,23,0.0,18,17,-1.0,23,15,-8.0,6,14,8.0,5,6,1.0,11,0.21153846153846154,10,0.19230769230769232,1,0.019230769230769232,-9
P0,P0_derivative_amplitude_deciles,REGION_AGGREGATES_ALL,ds004504__EC,CN_vs_FTD,20,CN,FTD,52,5,0.7307692307692307,0.5961538461538461,-0.13461538461538458,0.7271364317841079,0.588455772113943,-0.13868065967016496,0.7271364317841079,0.5887005649717514,-0.13843586681235653,0.4542728635682159,0.17784723704795571,-0.27642562652026015,0.7586206896551724,0.6333333333333333,-0.12528735632183907,0.7586206896551724,0.6551724137931034,-0.10344827586206895,0.7586206896551724,0.6440677966101694,-0.11455289304500293,29,29,0.0,0.6956521739130435,0.5454545454545454,-0.15019762845849804,0.6956521739130435,0.5217391304347826,-0.17391304347826086,0.6956521739130435,0.5333333333333332,-0.16231884057971024,23,23,0.0,16,12,-4.0,22,19,-3.0,7,10,3.0,7,11,4.0,11,0.21153846153846154,9,0.17307692307692307,2,0.038461538461538464,-7
P0,P0_derivative_amplitude_deciles,REGION_AGGREGATES_ALL,ds006036__EO_or_photomark,AD_FTD_vs_CN,1,CN,AD_FTD,88,5,0.75,0.7727272727272727,0.022727272727272707,0.6908240794856809,0.7165400350672122,0.02571595558153128,0.6997518610421837,0.7270471464019851,0.027295285359801413,0.40828890667014106,0.4633109951647389,0.05502208849459783,0.6521739130434783,0.6956521739130435,0.04347826086956519,0.5172413793103449,0.5517241379310345,0.03448275862068961,0.576923076923077,0.6153846153846154,0.038461538461538436,29,29,0.0,0.7846153846153846,0.8,0.015384615384615441,0.864406779661017,0.8813559322033898,0.016949152542372836,0.8225806451612904,0.8387096774193548,0.01612903225806439,59,59,0.0,51,52,1.0,15,16,1.0,14,13,-1.0,8,7,-1.0,10,0.11363636363636363,4,0.045454545454545456,6,0.06818181818181818,2
P0,P0_derivative_amplitude_deciles,REGION_AGGREGATES_ALL,ds006036__EO_or_photomark,AD_FTD_vs_CN,2,CN,AD_FTD,88,5,0.7159090909090909,0.75,0.03409090909090906,0.6829339567504383,0.7083576855639977,0.025423728813559365,0.6812979863827322,0.7119047619047618,0.030606775522029617,0.3628062034943636,0.4247346824360262,0.06192847894166259,0.5666666666666667,0.6296296296296297,0.062962962962963,0.5862068965517241,0.5862068965517241,0.0,0.576271186440678,0.6071428571428571,0.03087167070217911,29,29,0.0,0.7931034482758621,0.8032786885245902,0.010175240248728068,0.7796610169491526,0.8305084745762712,0.05084745762711862,0.7863247863247863,0.8166666666666667,0.030341880341880345,59,59,0.0,46,49,3.0,17,17,0.0,12,12,0.0,13,10,-3.0,11,0.125,4,0.045454545454545456,7,0.07954545454545454,3
P0,P0_derivative_amplitude_deciles,REGION_AGGREGATES_ALL,ds006036__EO_or_photomark,AD_FTD_vs_CN,3,CN,AD_FTD,88,5,0.6931818181818182,0.6704545454545454,-0.022727272727272818,0.6309175920514319,0.6402688486265342,0.009351256575102274,0.635526921306949,0.636208125445474,0.0006812041385250156,0.2763486843886456,0.2741241070207599,-0.0022245773678857272,0.5416666666666666,0.5,-0.04166666666666663,0.4482758620689655,0.5517241379310345,0.10344827586206895,0.49056603773584906,0.5245901639344263,0.0340241261985772,29,29,0.0,0.75,0.7678571428571429,0.017857142857142905,0.8135593220338984,0.7288135593220338,-0.08474576271186451,0.7804878048780488,0.7478260869565218,-0.032661717921527056,59,59,0.0,48,43,-5.0,13,16,3.0,16,13,-3.0,11,16,5.0,8,0.09090909090909091,5,0.056818181818181816,3,0.03409090909090909,-2
P0,P0_derivative_amplitude_deciles,REGION_AGGREGATES_ALL,ds006036__EO_or_photomark,AD_FTD_vs_CN,4,CN,AD_FTD,88,5,0.7613636363636364,0.7840909090909091,0.022727272727272707,0.7080654587960258,0.733781414377557,0.02571595558153117,0.7165209387942937,0.7435189446234085,0.026998005829114824,0.4391970162605261,0.49347979355115296,0.05428277729062686,0.6666666666666666,0.7083333333333334,0.04166666666666674,0.5517241379310345,0.5862068965517241,0.03448275862068961,0.6037735849056604,0.6415094339622641,0.037735849056603765,29,29,0.0,0.796875,0.8125,0.015625,0.864406779661017,0.8813559322033898,0.016949152542372836,0.8292682926829269,0.8455284552845529,0.016260162601625994,59,59,0.0,51,52,1.0,16,17,1.0,13,12,-1.0,8,7,-1.0,8,0.09090909090909091,3,0.03409090909090909,5,0.056818181818181816,2
P0,P0_derivative_amplitude_deciles,REGION_AGGREGATES_ALL,ds006036__EO_or_photomark,AD_FTD_vs_CN,5,CN,AD_FTD,88,5,0.7386363636363636,0.75,0.011363636363636354,0.7086499123319696,0.7083576855639977,-0.0002922267679719148,0.7067941474721136,0.7119047619047618,0.005110614432648264,0.413807714528715,0.4247346824360262,0.01092696790731118,0.6,0.6296296296296297,0.029629629629629672,0.6206896551724138,0.5862068965517241,-0.034482758620689724,0.6101694915254238,0.6071428571428571,-0.003026634382566673,29,29,0.0,0.8103448275862069,0.8032786885245902,-0.007066139061616683,0.7966101694915254,0.8305084745762712,0.03389830508474578,0.8034188034188032,0.8166666666666667,0.013247863247863423,59,59,0.0,47,49,2.0,18,17,-1.0,11,12,1.0,12,10,-2.0,11,0.125,5,0.056818181818181816,6,0.06818181818181818,1
P0,P0_derivative_amplitude_deciles,REGION_AGGREGATES_ALL,ds006036__EO_or_photomark,AD_FTD_vs_CN,6,CN,AD_FTD,88,5,0.7045454545454546,0.7045454545454546,0.0,0.6481589713617768,0.6744593804792518,0.026300409117475,0.652701882210079,0.6712643678160919,0.018562485606012924,0.30884649391005614,0.3433452563785626,0.03449876246850647,0.56,0.5483870967741935,-0.011612903225806548,0.4827586206896552,0.5862068965517241,0.1034482758620689,0.5185185185185185,0.5666666666666665,0.04814814814814805,29,29,0.0,0.7619047619047619,0.7894736842105263,0.027568922305764465,0.8135593220338984,0.7627118644067796,-0.05084745762711873,0.7868852459016393,0.7758620689655172,-0.011023176936122092,59,59,0.0,48,45,-3.0,14,17,3.0,15,12,-3.0,11,14,3.0,12,0.13636363636363635,6,0.06818181818181818,6,0.06818181818181818,0
P0,P0_derivative_amplitude_deciles,REGION_AGGREGATES_ALL,ds006036__EO_or_photomark,AD_FTD_vs_CN,7,CN,AD_FTD,88,5,0.7386363636363636,0.7386363636363636,0.0,0.7174167153711279,0.7261835184102864,0.008766803039158444,0.7114754098360656,0.7156904059558926,0.004214996119827008,0.4248923658821779,0.43669640577467084,0.011804039892492957,0.59375,0.5882352941176471,-0.005514705882352922,0.6551724137931034,0.6896551724137931,0.034482758620689724,0.6229508196721311,0.6349206349206349,0.011969815248503823,29,29,0.0,0.8214285714285714,0.8333333333333334,0.011904761904761973,0.7796610169491526,0.7627118644067796,-0.016949152542372947,0.8,0.7964601769911505,-0.0035398230088495852,59,59,0.0,46,45,-1.0,19,20,1.0,10,9,-1.0,13,14,1.0,14,0.1590909090909091,7,0.07954545454545454,7,0.07954545454545454,0
P0,P0_derivative_amplitude_deciles,REGION_AGGREGATES_ALL,ds006036__EO_or_photomark,AD_FTD_vs_CN,8,CN,AD_FTD,88,5,0.7159090909090909,0.8181818181818182,0.10227272727272729,0.6654003506721216,0.7767387492694331,0.11133839859731154,0.6694214876033058,0.7862780813600486,0.11685659375674284,0.340807314924767,0.5768789541081325,0.2360716391833655,0.5769230769230769,0.76,0.18307692307692314,0.5172413793103449,0.6551724137931034,0.13793103448275856,0.5454545454545454,0.7037037037037037,0.1582491582491583,29,29,0.0,0.7741935483870968,0.8412698412698413,0.06707629288274453,0.8135593220338984,0.8983050847457628,0.0847457627118644,0.7933884297520662,0.8688524590163935,0.07546402926432727,59,59,0.0,48,53,5.0,15,19,4.0,14,10,-4.0,11,6,-5.0,13,0.14772727272727273,2,0.022727272727272728,11,0.125,9
P0,P0_derivative_amplitude_deciles,REGION_AGGREGATES_ALL,ds006036__EO_or_photomark,AD_FTD_vs_CN,9,CN,AD_FTD,88,5,0.7272727272727273,0.7954545454545454,0.06818181818181812,0.6563413208649913,0.733489187609585,0.07714786674459373,0.6647619047619048,0.7485714285714287,0.08380952380952389,0.34481148947403906,0.5149614581116957,0.17014996863765663,0.6190476190476191,0.7619047619047619,0.1428571428571428,0.4482758620689655,0.5517241379310345,0.10344827586206895,0.52,0.64,0.12,29,29,0.0,0.7611940298507462,0.8059701492537313,0.04477611940298509,0.864406779661017,0.9152542372881356,0.05084745762711862,0.8095238095238095,0.8571428571428572,0.04761904761904767,59,59,0.0,51,54,3.0,13,16,3.0,16,13,-3.0,8,5,-3.0,8,0.09090909090909091,1,0.011363636363636364,7,0.07954545454545454,6
P0,P0_derivative_amplitude_deciles,REGION_AGGREGATES_ALL,ds006036__EO_or_photomark,AD_FTD_vs_CN,10,CN,AD_FTD,88,5,0.7840909090909091,0.7613636363636364,-0.022727272727272707,0.7250146113383986,0.7168322618351841,-0.008182349503214503,0.7377254901960785,0.7223140495867768,-0.015411440609301663,0.48852007175798084,0.4467827344066733,-0.041737337351307524,0.7272727272727273,0.6538461538461539,-0.07342657342657344,0.5517241379310345,0.5862068965517241,0.03448275862068961,0.6274509803921569,0.6181818181818182,-0.009269162210338688,29,29,0.0,0.803030303030303,0.8064516129032258,0.003421309872922773,0.8983050847457628,0.847457627118644,-0.05084745762711873,0.8480000000000001,0.8264462809917354,-0.021553719008264638,59,59,0.0,53,50,-3.0,16,17,1.0,13,12,-1.0,6,9,3.0,10,0.11363636363636363,6,0.06818181818181818,4,0.045454545454545456,-2
P0,P0_derivative_amplitude_deciles,REGION_AGGREGATES_ALL,ds006036__EO_or_photomark,AD_FTD_vs_CN,11,CN,AD_FTD,88,5,0.7386363636363636,0.7613636363636364,0.022727272727272707,0.6823495032144944,0.6992986557568673,0.016949152542372947,0.6895229329651787,0.7101176470588235,0.020594714093644773,0.3849142389698993,0.4326892064142116,0.04777496744431231,0.625,0.6818181818181818,0.05681818181818177,0.5172413793103449,0.5172413793103449,0.0,0.5660377358490567,0.5882352941176471,0.02219755826859038,29,29,0.0,0.78125,0.7878787878787878,0.006628787878787845,0.847457627118644,0.8813559322033898,0.03389830508474578,0.8130081300813008,0.832,0.018991869918699167,59,59,0.0,50,52,2.0,15,15,0.0,14,14,0.0,9,7,-2.0,12,0.13636363636363635,5,0.056818181818181816,7,0.07954545454545454,2
