job_id,split_family,layer,world,condition,task,repeat_id,fold_id,negative_class,positive_class,original_selected_k,adjusted_selected_k,delta_selected_k_adjusted_minus_original,direction_sensitive_intersection_n,direction_sensitive_union_n,direction_sensitive_jaccard,direction_sensitive_overlap_coefficient,direction_insensitive_intersection_n,direction_insensitive_union_n,direction_insensitive_jaccard,direction_insensitive_overlap_coefficient,common_unordered_pair_n,reversed_common_pair_n,reversal_rate_among_common_unordered_pairs,original_train_relation_vote_n,original_train_tie_vote_n,original_train_tie_rate,original_test_relation_vote_n,original_test_tie_vote_n,original_test_tie_rate,adjusted_train_relation_vote_n,adjusted_train_tie_vote_n,adjusted_train_tie_rate,adjusted_test_relation_vote_n,adjusted_test_tie_vote_n,adjusted_test_tie_rate,delta_test_tie_rate_adjusted_minus_original,delta_train_tie_rate_adjusted_minus_original
tier1_main_000129,P0,P0_derivative_amplitude_deciles,RAW_DECILES,ds004504__EC,AD_vs_CN,13,5,CN,AD,9,9,0,0,18,0.0,0.0,0,18,0.0,0.0,0,0,,477,0,0.0,108,0,0.0,477,0,0.0,108,0,0.0,0.0,0.0
tier1_main_000131,P0,P0_derivative_amplitude_deciles,RAW_DECILES,ds004504__EC,AD_vs_CN,14,1,CN,AD,9,5,-4,0,14,0.0,0.0,0,14,0.0,0.0,0,0,,459,0,0.0,126,0,0.0,255,0,0.0,70,0,0.0,0.0,0.0
tier1_main_000133,P0,P0_derivative_amplitude_deciles,RAW_DECILES,ds004504__EC,AD_vs_CN,14,2,CN,AD,9,5,-4,0,14,0.0,0.0,0,14,0.0,0.0,0,0,,468,0,0.0,117,0,0.0,260,0,0.0,65,0,0.0,0.0,0.0
tier1_main_000135,P0,P0_derivative_amplitude_deciles,RAW_DECILES,ds004504__EC,AD_vs_CN,14,3,CN,AD,3,9,6,0,12,0.0,0.0,0,12,0.0,0.0,0,0,,156,0,0.0,39,0,0.0,468,0,0.0,117,0,0.0,0.0,0.0
tier1_main_000137,P0,P0_derivative_amplitude_deciles,RAW_DECILES,ds004504__EC,AD_vs_CN,14,4,CN,AD,3,9,6,0,12,0.0,0.0,0,12,0.0,0.0,0,0,,156,0,0.0,39,0,0.0,468,0,0.0,117,0,0.0,0.0,0.0
tier1_main_000139,P0,P0_derivative_amplitude_deciles,RAW_DECILES,ds004504__EC,AD_vs_CN,14,5,CN,AD,3,5,2,0,8,0.0,0.0,0,8,0.0,0.0,0,0,,159,0,0.0,36,0,0.0,265,0,0.0,60,0,0.0,0.0,0.0
tier1_main_000141,P0,P0_derivative_amplitude_deciles,RAW_DECILES,ds004504__EC,AD_vs_CN,15,1,CN,AD,9,9,0,0,18,0.0,0.0,0,18,0.0,0.0,0,0,,459,0,0.0,126,0,0.0,459,0,0.0,126,0,0.0,0.0,0.0
tier1_main_000143,P0,P0_derivative_amplitude_deciles,RAW_DECILES,ds004504__EC,AD_vs_CN,15,2,CN,AD,5,5,0,0,10,0.0,0.0,0,10,0.0,0.0,0,0,,260,0,0.0,65,0,0.0,260,0,0.0,65,0,0.0,0.0,0.0
tier1_main_000145,P0,P0_derivative_amplitude_deciles,RAW_DECILES,ds004504__EC,AD_vs_CN,15,3,CN,AD,3,3,0,1,5,0.2,0.3333333333333333,1,5,0.2,0.3333333333333333,1,0,0.0,156,0,0.0,39,0,0.0,156,0,0.0,39,0,0.0,0.0,0.0
tier1_main_000147,P0,P0_derivative_amplitude_deciles,RAW_DECILES,ds004504__EC,AD_vs_CN,15,4,CN,AD,5,9,4,0,14,0.0,0.0,0,14,0.0,0.0,0,0,,260,0,0.0,65,0,0.0,468,0,0.0,117,0,0.0,0.0,0.0
tier1_main_000149,P0,P0_derivative_amplitude_deciles,RAW_DECILES,ds004504__EC,AD_vs_CN,15,5,CN,AD,3,5,2,1,7,0.14285714285714285,0.3333333333333333,1,7,0.14285714285714285,0.3333333333333333,1,0,0.0,159,0,0.0,36,0,0.0,265,0,0.0,60,0,0.0,0.0,0.0
tier1_main_000151,P0,P0_derivative_amplitude_deciles,RAW_DECILES,ds004504__EC,AD_vs_CN,16,1,CN,AD,5,9,4,0,14,0.0,0.0,0,14,0.0,0.0,0,0,,255,0,0.0,70,0,0.0,459,0,0.0,126,0,0.0,0.0,0.0
tier1_main_000153,P0,P0_derivative_amplitude_deciles,RAW_DECILES,ds004504__EC,AD_vs_CN,16,2,CN,AD,5,5,0,0,10,0.0,0.0,0,10,0.0,0.0,0,0,,260,0,0.0,65,0,0.0,260,0,0.0,65,0,0.0,0.0,0.0
tier1_main_000155,P0,P0_derivative_amplitude_deciles,RAW_DECILES,ds004504__EC,AD_vs_CN,16,3,CN,AD,9,9,0,0,18,0.0,0.0,0,18,0.0,0.0,0,0,,468,0,0.0,117,0,0.0,468,0,0.0,117,0,0.0,0.0,0.0
tier1_main_000157,P0,P0_derivative_amplitude_deciles,RAW_DECILES,ds004504__EC,AD_vs_CN,16,4,CN,AD,9,9,0,0,18,0.0,0.0,0,18,0.0,0.0,0,0,,468,0,0.0,117,0,0.0,468,0,0.0,117,0,0.0,0.0,0.0
tier1_main_000159,P0,P0_derivative_amplitude_deciles,RAW_DECILES,ds004504__EC,AD_vs_CN,16,5,CN,AD,9,9,0,0,18,0.0,0.0,0,18,0.0,0.0,0,0,,477,0,0.0,108,0,0.0,477,0,0.0,108,0,0.0,0.0,0.0
tier1_main_000161,P0,P0_derivative_amplitude_deciles,RAW_DECILES,ds004504__EC,AD_vs_CN,17,1,CN,AD,5,9,4,1,13,0.07692307692307693,0.2,1,13,0.07692307692307693,0.2,1,0,0.0,255,0,0.0,70,0,0.0,459,0,0.0,126,0,0.0,0.0,0.0
tier1_main_000163,P0,P0_derivative_amplitude_deciles,RAW_DECILES,ds004504__EC,AD_vs_CN,17,2,CN,AD,9,9,0,0,18,0.0,0.0,0,18,0.0,0.0,0,0,,468,0,0.0,117,0,0.0,468,0,0.0,117,0,0.0,0.0,0.0
